year,flok_year,flok,ringnr,firstyear,lastyear,ageclass,survival,totalrecruits,gensex,type,age,age2,year2,ob,mean.pop,rel.pop,agec,agesq
1998,20 1998,20,8681260,1997,2001,0,1,0,f,1,0,1,5,1,-0.714617411056216,0.117442182010111,1,0
1998,20 1998,20,8651730,1996,2001,1,1,0,m,1,1,2,4,2,-0.714617411056216,0.117442182010111,2,1
1998,20 1998,20,8681008,1997,2002,0,1,0,f,1,0,1,5,3,-0.714617411056216,0.117442182010111,1,0
1998,20 1998,20,8681207,1997,2000,0,1,0,f,1,0,1,5,4,-0.714617411056216,0.117442182010111,1,0
1998,20 1998,20,8681261,1997,2001,0,1,0,f,1,0,1,5,5,-0.714617411056216,0.117442182010111,1,0
1998,20 1998,20,8651728,1996,2000,1,1,0,m,1,1,2,4,6,-0.714617411056216,0.117442182010111,2,1
1998,20 1998,20,8681422,1997,1998,0,0,0,m,1,0,1,5,7,-0.714617411056216,0.117442182010111,1,0
1998,20 1998,20,8414501,1992,1998,1,0,0,f,1,5,6,0,8,-0.714617411056216,0.117442182010111,3,25
1998,20 1998,20,8651621,1996,2000,1,1,0,f,1,1,2,4,9,-0.714617411056216,0.117442182010111,2,1
1998,20 1998,20,8573864,1994,1998,1,0,0,f,1,3,4,2,10,-0.714617411056216,0.117442182010111,3,9
1998,20 1998,20,8681419,1997,2002,0,1,0,f,1,0,1,5,11,-0.714617411056216,0.117442182010111,1,0
1998,20 1998,20,8681009,1997,2000,0,1,0,f,1,0,1,5,12,-0.714617411056216,0.117442182010111,1,0
1998,20 1998,20,8681423,1997,1999,0,1,0,m,1,0,1,5,13,-0.714617411056216,0.117442182010111,1,0
1998,20 1998,20,8573567,1993,1998,1,0,0,f,1,4,5,1,14,-0.714617411056216,0.117442182010111,3,16
1998,20 1998,20,8681420,1997,2002,0,1,0,f,1,0,1,5,15,-0.714617411056216,0.117442182010111,1,0
1998,20 1998,20,8681259,1997,2000,0,1,0,m,1,0,1,5,16,-0.714617411056216,0.117442182010111,1,0
1998,20 1998,20,8681214,1997,2000,0,1,0,f,1,0,1,5,17,-0.714617411056216,0.117442182010111,1,0
1998,20 1998,20,8537699,1994,1999,1,1,0,m,1,3,4,2,18,-0.714617411056216,0.117442182010111,3,9
1998,20 1998,20,8651576,1996,2000,1,1,0,m,1,2,3,4,19,-0.714617411056216,0.117442182010111,3,4
1998,20 1998,20,8651884,1996,1999,1,1,0,m,1,1,2,4,20,-0.714617411056216,0.117442182010111,2,1
1998,20 1998,20,8537700,1994,2001,1,1,0,m,1,3,4,2,21,-0.714617411056216,0.117442182010111,3,9
1998,26 1998,26,8681200,1997,2001,0,1,0,f,1,0,1,5,22,0.77195336649282,-0.462557365987191,1,0
1998,26 1998,26,8681308,1997,2000,0,1,0,f,1,0,1,5,23,0.77195336649282,-0.462557365987191,1,0
1998,26 1998,26,8651881,1996,1999,1,1,0,f,1,1,2,4,24,0.77195336649282,-0.462557365987191,2,1
1998,26 1998,26,8651985,1997,2000,0,1,0,f,1,0,1,5,25,0.77195336649282,-0.462557365987191,1,0
1998,26 1998,26,8681190,1997,1998,0,0,0,f,1,0,1,5,26,0.77195336649282,-0.462557365987191,1,0
1998,26 1998,26,8598728,1995,2000,1,1,3,m,1,2,3,3,27,0.77195336649282,-0.462557365987191,3,4
1998,26 1998,26,8681005,1997,2000,0,1,0,m,1,0,1,5,28,0.77195336649282,-0.462557365987191,1,0
1998,26 1998,26,8573856,1994,1999,1,1,1,m,1,4,5,2,29,0.77195336649282,-0.462557365987191,3,16
1998,26 1998,26,8681054,1998,2002,0,1,1,f,1,0,1,6,30,0.77195336649282,-0.462557365987191,1,0
1998,26 1998,26,8681374,1997,2002,0,1,0,m,1,0,1,5,31,0.77195336649282,-0.462557365987191,1,0
1998,26 1998,26,8651534,1996,1998,1,0,0,f,1,1,2,4,32,0.77195336649282,-0.462557365987191,2,1
1998,26 1998,26,8573572,1993,2002,1,1,1,m,1,4,5,1,33,0.77195336649282,-0.462557365987191,3,16
1998,26 1998,26,8681003,1997,2000,0,1,0,m,1,0,1,5,34,0.77195336649282,-0.462557365987191,1,0
1998,26 1998,26,8681183,1997,2000,0,1,3,f,1,0,1,5,35,0.77195336649282,-0.462557365987191,1,0
1998,26 1998,26,8681017,1997,2000,0,1,0,m,1,0,1,5,36,0.77195336649282,-0.462557365987191,1,0
1998,26 1998,26,8651539,1996,1999,1,1,0,f,1,1,2,4,37,0.77195336649282,-0.462557365987191,2,1
1998,26 1998,26,8537652,1994,1999,1,1,2,m,1,3,4,2,38,0.77195336649282,-0.462557365987191,3,9
1998,26 1998,26,8681175,1997,1998,0,0,1,m,1,0,1,5,39,0.77195336649282,-0.462557365987191,1,0
1998,26 1998,26,8651993,1997,1998,0,0,0,m,1,0,1,5,40,0.77195336649282,-0.462557365987191,1,0
1998,26 1998,26,8651883,1996,1999,1,1,1,m,1,1,2,4,41,0.77195336649282,-0.462557365987191,2,1
1998,26 1998,26,8681361,1997,2000,0,1,0,f,1,0,1,5,42,0.77195336649282,-0.462557365987191,1,0
1998,26 1998,26,8681253,1997,1998,0,0,0,m,1,0,1,5,43,0.77195336649282,-0.462557365987191,1,0
1998,26 1998,26,8598887,1995,1998,1,0,1,m,1,2,3,3,44,0.77195336649282,-0.462557365987191,3,4
1998,26 1998,26,8651878,1996,2000,1,1,2,f,1,1,2,4,45,0.77195336649282,-0.462557365987191,2,1
1998,26 1998,26,8681169,1997,2001,0,1,1,f,1,0,1,5,46,0.77195336649282,-0.462557365987191,1,0
1998,26 1998,26,8651548,1996,1998,1,0,1,f,1,1,2,4,47,0.77195336649282,-0.462557365987191,2,1
1998,26 1998,26,8598568,1995,1998,1,0,3,m,1,2,3,3,48,0.77195336649282,-0.462557365987191,3,4
1998,26 1998,26,8681040,1997,1999,0,1,0,m,1,0,1,5,49,0.77195336649282,-0.462557365987191,1,0
1998,26 1998,26,8681053,1998,1999,0,1,0,f,1,0,1,6,50,0.77195336649282,-0.462557365987191,1,0
1998,26 1998,26,8681258,1997,2001,0,1,0,f,1,0,1,5,51,0.77195336649282,-0.462557365987191,1,0
1998,26 1998,26,8573187,1993,2000,1,1,0,m,1,4,5,1,52,0.77195336649282,-0.462557365987191,3,16
1998,26 1998,26,8681309,1997,2002,0,1,1,m,1,0,1,5,53,0.77195336649282,-0.462557365987191,1,0
1998,26 1998,26,8573156,1993,2001,1,1,1,f,1,4,5,1,54,0.77195336649282,-0.462557365987191,3,16
1998,26 1998,26,8681251,1997,2002,0,1,0,m,1,0,1,5,55,0.77195336649282,-0.462557365987191,1,0
1998,26 1998,26,8537612,1994,2000,1,1,1,f,1,3,4,2,56,0.77195336649282,-0.462557365987191,3,9
1998,26 1998,26,8651804,1996,1999,1,1,2,f,1,1,2,4,57,0.77195336649282,-0.462557365987191,2,1
1998,26 1998,26,8681001,1997,2000,0,1,0,m,1,0,1,5,58,0.77195336649282,-0.462557365987191,1,0
1998,26 1998,26,8730417,1998,2001,0,1,1,f,1,0,1,6,59,0.77195336649282,-0.462557365987191,1,0
