flok_year,year,gensex,meanAgeR,meanRec,meanAge,meanW,meanS,flok,mean.pop,rel.pop
20 1999,1999,f,1,0.8,1,1.4,1,20,-0.714617411056216,-0.041207783161443
20 1999,1999,m,2.625,1,2.375,1.125,0.625,20,-0.714617411056216,-0.041207783161443
20 2000,2000,f,2,0.25,1.66666666666667,0.708333333333333,0.583333333333333,20,-0.714617411056216,0.162770743487698
20 2000,2000,m,2.66666666666667,0.214285714285714,1.21428571428571,0.821428571428571,0.714285714285714,20,-0.714617411056216,0.162770743487698
20 2001,2001,f,1.5,0.2,1.7,0.6,0.5,20,-0.714617411056216,0.117442182010111
20 2001,2001,m,1,0.230769230769231,1.38461538461538,0.884615384615385,0.769230769230769,20,-0.714617411056216,0.117442182010111
20 2002,2002,f,2.5,0.333333333333333,2.33333333333333,0.5,0.333333333333333,20,-0.714617411056216,0.072113620532524
20 2002,2002,m,0.666666666666667,0.2,1.2,0.433333333333333,0.333333333333333,20,-0.714617411056216,0.072113620532524
20 2003,2003,m,1,0.125,0.75,0.8125,0.75,20,-0.714617411056216,-0.154529186855409
20 2004,2004,f,0.5,0.333333333333333,0.833333333333333,0.666666666666667,0.5,20,-0.714617411056216,0.026785059054938
20 2004,2004,m,1.25,0.444444444444444,1.22222222222222,0.777777777777778,0.555555555555556,20,-0.714617411056216,0.026785059054938
20 2005,2005,f,0.666666666666667,0.25,0.416666666666667,0.375,0.25,20,-0.714617411056216,0.185435024226491
20 2005,2005,m,1.75,0.363636363636364,1.09090909090909,0.636363636363636,0.454545454545455,20,-0.714617411056216,0.185435024226491
20 2006,2006,f,1.2,0.555555555555556,0.555555555555556,0.611111111111111,0.333333333333333,20,-0.714617411056216,0.004120778316144
20 2006,2006,m,2,0.833333333333333,1.5,1.25,0.833333333333333,20,-0.714617411056216,0.004120778316144
20 2007,2007,m,1,0.428571428571429,1.71428571428571,0.785714285714286,0.571428571428571,20,-0.714617411056216,-0.154529186855409
20 2008,2008,f,0.6,0.714285714285714,0.857142857142857,0.928571428571429,0.571428571428571,20,-0.714617411056216,0.004120778316144
20 2008,2008,m,1.5,0.333333333333333,2.16666666666667,0.666666666666667,0.5,20,-0.714617411056216,0.004120778316144
20 2009,2009,f,2.15384615384615,2.16666666666667,1.33333333333333,1.75,0.666666666666667,20,-0.714617411056216,-0.109200625377822
20 2009,2009,m,0.416666666666667,1.71428571428571,1.42857142857143,1,0.142857142857143,20,-0.714617411056216,-0.109200625377822
20 2010,2010,f,2,1.1,1,1.25,0.7,20,-0.714617411056216,-0.086536344639029
20 2010,2010,m,0.666666666666667,1.5,0.5,0.75,0,20,-0.714617411056216,-0.086536344639029
20 2011,2011,f,2.5,0.5,1.33333333333333,0.75,0.5,20,-0.714617411056216,0.321420708659251
20 2012,2012,f,2.75,0.333333333333333,1.16666666666667,0.333333333333333,0.166666666666667,20,-0.714617411056216,0.049449339793731
22 2004,2004,m,1,0.4,1.4,0.9,0.7,22,-0.657956709209233,0.038117199424334
22 2006,2006,f,2,0.4,1,0.6,0.4,22,-0.657956709209233,0.083445760901921
22 2006,2006,m,3.66666666666667,0.272727272727273,2.18181818181818,0.772727272727273,0.636363636363636,22,-0.657956709209233,0.083445760901921
22 2007,2007,m,4,0.222222222222222,2.44444444444444,0.111111111111111,0,22,-0.657956709209233,0.196767164595888
22 2008,2008,f,2,0.285714285714286,1.14285714285714,0.571428571428571,0.428571428571429,22,-0.657956709209233,-0.052539923530839
22 2009,2009,f,1.75,0.8,1.4,0.6,0.2,22,-0.657956709209233,-0.233854169441186
22 2009,2009,m,0.714285714285714,1.75,0.25,1.375,0.5,22,-0.657956709209233,-0.233854169441186
22 2010,2010,f,0.666666666666667,1.5,0.5,1.5,0.75,22,-0.657956709209233,-0.029875642792046
22 2010,2010,m,0.222222222222222,1.125,0.375,1.1875,0.625,22,-0.657956709209233,-0.029875642792046
22 2011,2011,f,0.375,0.8,0.5,1,0.6,22,-0.657956709209233,0.083445760901921
22 2011,2011,m,0.818181818181818,1,0.636363636363636,0.863636363636364,0.363636363636364,22,-0.657956709209233,0.083445760901921
23 2005,2005,f,0.5,0.782608695652174,0.260869565217391,0.869565217391304,0.478260869565217,23,0.06833046901119,0.037087004845298
23 2005,2005,m,0.5,0.285714285714286,0.5,0.357142857142857,0.214285714285714,23,0.06833046901119,0.037087004845298
23 2006,2006,f,0.5625,0.666666666666667,0.583333333333333,0.958333333333333,0.625,23,0.06833046901119,0.490372619621165
23 2006,2006,m,0.461538461538462,0.722222222222222,0.277777777777778,0.972222222222222,0.611111111111111,23,0.06833046901119,0.490372619621165
23 2007,2007,f,1.2,0.37037037037037,0.925925925925926,0.407407407407407,0.222222222222222,23,0.06833046901119,0.807672549964272
23 2007,2007,m,0.4,0.2,0.48,0.22,0.12,23,0.06833046901119,0.807672549964272
23 2008,2008,f,0.272727272727273,0.6875,0.75,0.96875,0.625,23,0.06833046901119,-0.620177136579709
23 2008,2008,m,1.2,0.454545454545455,0.454545454545455,0.863636363636364,0.636363636363636,23,0.06833046901119,-0.620177136579709
23 2009,2009,f,1.14285714285714,0.368421052631579,0.894736842105263,0.552631578947368,0.368421052631579,23,0.06833046901119,0.037087004845298
23 2010,2010,f,0.766666666666667,2,0.8,1.53333333333333,0.533333333333333,23,0.06833046901119,-0.098898679587462
23 2010,2010,m,1.1304347826087,1.0952380952381,0.761904761904762,1.07142857142857,0.523809523809524,23,0.06833046901119,-0.098898679587462
23 2011,2011,f,0.9,0.24390243902439,0.439024390243902,0.317073170731707,0.195121951219512,23,0.06833046901119,1.30628672621773
23 2011,2011,m,1.23529411764706,0.515151515151515,0.575757575757576,0.772727272727273,0.515151515151515,23,0.06833046901119,1.30628672621773
23 2012,2012,f,0.625,0.8,0.45,0.7,0.3,23,0.06833046901119,0.354386935188405
23 2012,2012,m,1.2,0.657894736842105,0.763157894736842,0.828947368421053,0.5,23,0.06833046901119,0.354386935188405
24 2004,2004,f,0.272727272727273,0.578947368421053,0.368421052631579,0.921052631578947,0.631578947368421,24,0.030213269586856,-0.310088568289854
24 2004,2004,m,0.571428571428571,0.388888888888889,0.444444444444444,0.972222222222222,0.777777777777778,24,0.030213269586856,-0.310088568289854
24 2005,2005,f,1.25,0.166666666666667,0.666666666666667,0.416666666666667,0.333333333333333,24,0.030213269586856,-0.015452918685541
24 2005,2005,m,0.833333333333333,0.222222222222222,0.777777777777778,0.666666666666667,0.555555555555556,24,0.030213269586856,-0.015452918685541
24 2006,2006,f,1.4,0.277777777777778,0.722222222222222,0.916666666666667,0.777777777777778,24,0.030213269586856,-0.151438603118301
24 2006,2006,m,2,0.5,1.27777777777778,0.805555555555556,0.555555555555556,24,0.030213269586856,-0.151438603118301
24 2007,2007,f,1.33333333333333,0.48,0.96,0.68,0.44,24,0.030213269586856,0.120532765747219
24 2007,2007,m,2,0.3,1,0.75,0.6,24,0.030213269586856,0.120532765747219
24 2008,2008,f,1.4,0.208333333333333,0.833333333333333,0.4375,0.333333333333333,24,0.030213269586856,0.800461187911019
24 2008,2008,m,2.36363636363636,0.407407407407407,0.777777777777778,0.796296296296296,0.592592592592593,24,0.030213269586856,0.800461187911019
24 2009,2009,f,1,0.4375,1.125,0.65625,0.4375,24,0.030213269586856,-0.196767164595888
24 2009,2009,m,2.66666666666667,0.15,1.4,0.675,0.6,24,0.030213269586856,-0.196767164595888
24 2010,2010,f,1.04166666666667,2.18181818181818,0.909090909090909,1.81818181818182,0.727272727272727,24,0.030213269586856,0.007211362053252
24 2010,2010,m,1.05,0.8,1.16,1.2,0.8,24,0.030213269586856,0.007211362053252
24 2011,2011,f,0.941176470588235,0.607142857142857,0.607142857142857,0.803571428571429,0.5,24,0.030213269586856,0.800461187911019
24 2011,2011,m,1.92307692307692,0.325,1.175,0.6875,0.525,24,0.030213269586856,0.800461187911019
24 2012,2012,f,0.75,0.714285714285714,0.821428571428571,0.642857142857143,0.285714285714286,24,0.030213269586856,0.641811222739466
24 2012,2012,m,0.875,0.228571428571429,1.2,0.6,0.485714285714286,24,0.030213269586856,0.641811222739466
26 1998,1998,f,0.888888888888889,0.75,0.75,1.20833333333333,0.833333333333333,26,0.77195336649282,-0.462557365987191
26 1998,1998,m,2.0625,0.64,1.08,1.04,0.72,26,0.77195336649282,-0.462557365987191
26 1999,1999,f,1,0.28125,1.09375,0.734375,0.59375,26,0.77195336649282,-0.190585997121671
26 1999,1999,m,1.22222222222222,0.272727272727273,1.21212121212121,0.833333333333333,0.696969696969697,26,0.77195336649282,-0.190585997121671
26 2000,2000,f,1.22222222222222,0.642857142857143,1.5,0.785714285714286,0.464285714285714,26,0.77195336649282,-0.349235962293225
26 2000,2000,m,0.684210526315789,0.575757575757576,1.39393939393939,0.772727272727273,0.484848484848485,26,0.77195336649282,-0.349235962293225
26 2001,2001,f,1.4,0.555555555555556,1.33333333333333,0.722222222222222,0.444444444444444,26,0.77195336649282,-0.621207331158745
26 2001,2001,m,2.08333333333333,0.5,1.58333333333333,0.875,0.625,26,0.77195336649282,-0.621207331158745
26 2002,2002,f,1.2,1.38888888888889,1.22222222222222,1.25,0.555555555555556,26,0.77195336649282,-0.779857296330298
26 2002,2002,m,1.7,0.909090909090909,1.77272727272727,0.818181818181818,0.363636363636364,26,0.77195336649282,-0.779857296330298
26 2003,2003,f,1.57142857142857,0.56,0.76,0.96,0.68,26,0.77195336649282,-0.281243120076845
26 2003,2003,m,1.27272727272727,0.611111111111111,1,0.972222222222222,0.666666666666667,26,0.77195336649282,-0.281243120076845
26 2004,2004,f,1.5625,0.695652173913043,1.39130434782609,0.956521739130435,0.608695652173913,26,0.77195336649282,-0.643871611897538
26 2004,2004,m,1.42857142857143,0.583333333333333,0.875,0.791666666666667,0.5,26,0.77195336649282,-0.643871611897538
26 2005,2005,f,2.0625,0.615384615384615,1.46153846153846,0.884615384615385,0.576923076923077,26,0.77195336649282,-0.643871611897538
26 2005,2005,m,0.857142857142857,0.666666666666667,0.857142857142857,1,0.666666666666667,26,0.77195336649282,-0.643871611897538
26 2006,2006,f,2.95652173913043,0.766666666666667,1.36666666666667,0.983333333333333,0.6,26,0.77195336649282,-0.530550208203571
26 2006,2006,m,0.91304347826087,0.884615384615385,1.03846153846154,1.13461538461538,0.692307692307692,26,0.77195336649282,-0.530550208203571
26 2007,2007,f,0.771428571428571,1,1.22857142857143,1.04285714285714,0.542857142857143,26,0.77195336649282,0.534670986519716
