"","ID","ringnr","sex","flok","type","name","firstyear","lastyear","missing","LRS","lambda","Rep.Value","FirstAge","Long","r","GT","flok_year","animal"
"1",1,"8118424","m",28,1,"Indre-Kvarøy",2007,2010,0,8,2.80630071674101,0.430111209060728,1,3,2.66666666666667,2.25,"28 2007","8118424"
"3",3,"8118426","m",28,1,"Indre-Kvarøy",2007,2010,0,4,2,0.447213595499958,2,3,1.33333333333333,2,"28 2007","8118426"
"6",6,"8118432","f",26,1,"Gjerøy",2007,2009,0,2,1.61803398874989,0.85065080835204,1,2,1,1.5,"26 2007","8118432"
"7",7,"8118433","m",26,1,"Gjerøy",2007,2009,0,3,1.73205080756888,0.5,2,2,1.5,2,"26 2007","8118433"
"8",8,"8118435","f",26,1,"Gjerøy",2007,2009,0,7,2.84546609143593,0.52051346332858,1,3,2.33333333333333,2.28571428571429,"26 2007","8118435"
"9",9,"8168601","m",38,1,"Aldra",1998,2001,0,8,4.82842712474619,0.770076152379129,1,3,2.66666666666667,1.5,"38 1998","8168601"
"10",10,"8168602","f",38,1,"Aldra",1998,1999,0,1,1,1,1,1,1,1,"38 1998","8168602"
"12",12,"8168605","m",38,1,"Aldra",1998,2001,0,2,1.4142135623731,0.577350269189626,2,3,0.666666666666667,2,"38 1998","8168605"
"13",13,"8168606","m",38,1,"Aldra",1998,2000,0,1,1,0.707106781186547,2,2,0.5,2,"38 1998","8168606"
"15",15,"8168608","m",28,1,"Indre-Kvarøy",1998,1999,0,1,1,1,1,1,1,1,"28 1998","8168608"
"17",17,"8168612","m",28,1,"Indre-Kvarøy",1998,2001,0,3,1.61803398874989,0.5,2,3,1,2.33333333333333,"28 1998","8168612"
"18",18,"8168613","f",27,1,"Hestmannøy",1998,2001,0,2,1.4142135623731,0.577350269189626,2,3,0.666666666666667,2,"27 1998","8168613"
"19",19,"8168614","f",28,1,"Indre-Kvarøy",1998,2002,0,2,1.27201964951407,0.525731112119134,2,4,0.5,3,"28 1998","8168614"
"22",22,"8168639","f",26,1,"Gjerøy",1999,2000,0,3,1.73205080756888,0.5,2,2,1.5,2,"26 1999","8168639"
"26",26,"8168648","m",26,1,"Gjerøy",1999,1999,0,1,1,1,1,1,1,1,"26 1999","8168648"
"30",30,"8168692","f",28,1,"Indre-Kvarøy",1999,2001,0,4,2.14789903570479,0.628145069491339,1,3,1.33333333333333,2,"28 1999","8168692"
"33",33,"8168702","m",27,1,"Hestmannøy",1999,2001,0,4,3.30277563773199,0.957092026489053,1,2,2,1.25,"27 1999","8168702"
"34",34,"8168709","m",26,1,"Gjerøy",1999,2002,0,7,2.84546609143593,0.52051346332858,1,3,2.33333333333333,2.28571428571429,"26 1999","8168709"
