"","ringnr","X","ID","sex","flok","type","name","firstyear","lastyear","missing","LRS","lambda","Rep.Value","FirstAge","Long","r","GT","flok_year","animal","tarsus_length","body_mass","lBM","lTL","lGT"
"1","8118424",1,1,"m",28,1,"Indre-Kvarøy",2007,2010,0,8,2.80630071674101,0.430111209060728,1,3,2.66666666666667,2.25,"28 2007","8118424",19.92,32.38,3.47754094824949,2.99172425215645,0.810930216216329
"2","8118426",3,3,"m",28,1,"Indre-Kvarøy",2007,2010,0,4,2,0.447213595499958,2,3,1.33333333333333,2,"28 2007","8118426",19.655,32.7625,3.48928456864952,2.97833175887382,0.693147180559945
"3","8118432",6,6,"f",26,1,"Gjerøy",2007,2009,0,2,1.61803398874989,0.85065080835204,1,2,1,1.5,"26 2007","8118432",19.704,32.06,3.46760914718141,2.98082166081824,0.405465108108164
"4","8118433",7,7,"m",26,1,"Gjerøy",2007,2009,0,3,1.73205080756888,0.5,2,2,1.5,2,"26 2007","8118433",18.295,30.1333333333333,3.40563197873002,2.90662779847117,0.693147180559945
"5","8118435",8,8,"f",26,1,"Gjerøy",2007,2009,0,7,2.84546609143593,0.52051346332858,1,3,2.33333333333333,2.28571428571429,"26 2007","8118435",19.42,28.85,3.36210999295411,2.96630346286318,0.82667857318447
"6","8168601",9,9,"m",38,1,"Aldra",1998,2001,0,8,4.82842712474619,0.770076152379129,1,3,2.66666666666667,1.5,"38 1998","8168601",19.8,29.9,3.39785848039664,2.98568193770049,0.405465108108164
"7","8168602",10,10,"f",38,1,"Aldra",1998,1999,0,1,1,1,1,1,1,1,"38 1998","8168602",20.4666666666667,32.5,3.48124008933569,3.01879754648499,0
"8","8168605",12,12,"m",38,1,"Aldra",1998,2001,0,2,1.4142135623731,0.577350269189626,2,3,0.666666666666667,2,"38 1998","8168605",19.66,29.9333333333333,3.39897268664004,2.97858611471902,0.693147180559945
"9","8168606",13,13,"m",38,1,"Aldra",1998,2000,0,1,1,0.707106781186547,2,2,0.5,2,"38 1998","8168606",19.96,32.1333333333333,3.46989391294839,2.99373027088332,0.693147180559945
"10","8168608",15,15,"m",28,1,"Indre-Kvarøy",1998,1999,0,1,1,1,1,1,1,1,"28 1998","8168608",19.6,33.4,3.50855589998265,2.97552956623647,0
"11","8168612",17,17,"m",28,1,"Indre-Kvarøy",1998,2001,0,3,1.61803398874989,0.5,2,3,1,2.33333333333333,"28 1998","8168612",19.6,34.3,3.53514535417189,2.97552956623647,0.847297860387202
"12","8168613",18,18,"f",27,1,"Hestmannøy",1998,2001,0,2,1.4142135623731,0.577350269189626,2,3,0.666666666666667,2,"27 1998","8168613",19.8,32.3,3.47506723022861,2.98568193770049,0.693147180559945
"13","8168614",19,19,"f",28,1,"Indre-Kvarøy",1998,2002,0,2,1.27201964951407,0.525731112119134,2,4,0.5,3,"28 1998","8168614",19.3,33.35,3.50705777236163,2.96010509591084,1.09861228866811
"14","8168639",22,22,"f",26,1,"Gjerøy",1999,2000,0,3,1.73205080756888,0.5,2,2,1.5,2,"26 1999","8168639",19.44,30.95,3.4323729991306,2.96733279903229,0.693147180559945
"15","8168648",26,26,"m",26,1,"Gjerøy",1999,1999,0,1,1,1,1,1,1,1,"26 1999","8168648",20.25,31.25,3.44201937618241,3.00815479355255,0
"16","8168692",30,30,"f",28,1,"Indre-Kvarøy",1999,2001,0,4,2.14789903570479,0.628145069491339,1,3,1.33333333333333,2,"28 1999","8168692",19.3,31.5666666666667,3.45210171152392,2.96010509591084,0.693147180559945
"17","8168702",33,33,"m",27,1,"Hestmannøy",1999,2001,0,4,3.30277563773199,0.957092026489053,1,2,2,1.25,"27 1999","8168702",18.7,29.7333333333333,3.39226875091785,2.92852352386054,0.22314355131421
"18","8168709",34,34,"m",26,1,"Gjerøy",1999,2002,0,7,2.84546609143593,0.52051346332858,1,3,2.33333333333333,2.28571428571429,"26 1999","8168709",19.9525,30.85,3.4291367503514,2.99335444876803,0.82667857318447
"19","8309128",40,40,"f",27,1,"Hestmannøy",2007,2010,0,5,2.23606797749979,0.408248290463863,2,3,1.66666666666667,2,"27 2007","8309128",18.75,30.86,3.42946084693501,2.93119375241642,0.693147180559945
"20","8309140",42,42,"m",27,1,"Hestmannøy",2007,2008,0,1,1,1,1,1,1,1,"27 2007","8309140",20.18,32.8,3.4904285153901,3.00469201492546,0
"21","8309141",43,43,"m",27,1,"Hestmannøy",2007,2010,0,3,1.69562076955986,0.589754512301459,1,3,1,2.33333333333333,"27 2007","8309141",19.04125,29.8,3.39450839351136,2.94660767846877,0.847297860387202
"22","8309143",44,44,"m",26,1,"Gjerøy",2007,2010,0,1,1,1,1,3,0.333333333333333,1,"26 2007","8309143",16.7366666666667,30.35,3.41279651750551,2.8176019213785,0
"23","8309158",48,48,"m",28,1,"Indre-Kvarøy",2007,2010,0,1,1,0.707106781186547,2,3,0.333333333333333,2,"28 2007","8309158",19.38,32.5666666666667,3.48328927038063,2.96424160646262,0.693147180559945
"24","8309159",49,49,"m",28,1,"Indre-Kvarøy",2007,2008,0,2,2,1,1,1,2,1,"28 2007","8309159",20.075,32.15,3.47041245068363,2.99947525983283,0
"25","8309171",52,52,"f",27,1,"Hestmannøy",2007,2011,0,7,2.11062951895362,0.340476007535768,1,4,1.75,3,"27 2007","8309171",19.26,32.325,3.47584092465792,2.95803040636998,1.09861228866811
"26","8309182",55,55,"m",27,1,"Hestmannøy",2007,2009,0,2,1.61803398874989,0.85065080835204,1,2,1,1.5,"27 2007","8309182",20.084,30.4833333333333,3.41718008616877,2.99992347817246,0.405465108108164
"27","8309191",59,59,"m",26,1,"Gjerøy",2007,2011,0,2,1.25992104989487,0.442493334024442,3,4,0.5,3,"26 2007","8309191",19.308,32.06,3.46760914718141,2.96051951779825,1.09861228866811
"28","8309251",63,63,"f",27,1,"Hestmannøy",2007,2010,0,3,1.73205080756888,0.5,2,3,1,2,"27 2007","8309251",19.925,35.65,3.57374914686031,2.99197522467628,0.693147180559945
"29","8309252",64,64,"f",27,1,"Hestmannøy",2007,2009,0,2,1.4142135623731,0.577350269189626,2,2,1,2,"27 2007","8309252",19.656,31.9,3.4626060097908,2.97838263521888,0.693147180559945
"30","8309254",65,65,"m",27,1,"Hestmannøy",2007,2009,0,2,1.4142135623731,0.577350269189626,2,2,1,2,"27 2007","8309254",20.24,34.5666666666667,3.54288982656737,3.00766084441926,0.693147180559945
"31","8309262",66,66,"m",27,1,"Hestmannøy",2007,2010,0,5,2.23606797749979,0.408248290463863,2,3,1.66666666666667,2,"27 2007","8309262",19.94,38.4,3.64805745959368,2.99272776453369,0.693147180559945
"32","8309263",67,67,"f",27,1,"Hestmannøy",2007,2008,0,1,1,1,1,1,1,1,"27 2007","8309263",19.585,31.4,3.44680789291421,2.97476396711779,0
"33","8309264",68,68,"f",27,1,"Hestmannøy",2007,2009,0,3,1.73205080756888,0.5,2,2,1.5,2,"27 2007","8309264",20.68,32.5,3.48124008933569,3.02916704964023,0.693147180559945
"34","8309266",69,69,"m",27,1,"Hestmannøy",2007,2011,0,2,1.61803398874989,0.85065080835204,1,4,0.5,1.5,"27 2007","8309266",19.665,31.7,3.45631668088323,2.97884040588377,0.405465108108164
"35","8309272",72,72,"f",27,1,"Hestmannøy",2007,2011,0,1,1,0.577350269189626,3,4,0.25,3,"27 2007","8309272",20.3971428571429,31.85,3.46103738201817,3.015394835019,1.09861228866811
"36","8309274",74,74,"m",27,1,"Hestmannøy",2007,2010,0,2,1.61803398874989,0.85065080835204,1,3,0.666666666666667,1.5,"27 2007","8309274",20.1,34.54,3.54211807271853,3.00071981506503,0.405465108108164
"37","8309277",75,75,"m",27,1,"Hestmannøy",2007,2010,0,6,2.91963956583942,0.657243060060639,1,3,2,2,"27 2007","8309277",20.56,33.85,3.52193899935828,3.02334744058696,0.693147180559945
"38","8309283",78,78,"f",27,1,"Hestmannøy",2007,2009,0,5,3.56155281280883,0.871928209278037,1,2,2.5,1.4,"27 2007","8309283",19.86,32.0166666666667,3.46625660054646,2.98870765861703,0.336472236621213
"39","8309285",79,79,"f",27,1,"Hestmannøy",2007,2009,0,5,2.56155281280883,0.539285596264911,1,2,2.5,1.8,"27 2007","8309285",19.688,36.56,3.59895474658595,2.98000931308875,0.587786664902119
"40","8309288",81,81,"m",27,1,"Hestmannøy",2007,2008,0,2,2,1,1,1,2,1,"27 2007","8309288",19.935,33.05,3.4980215662977,2.99247698083332,0
